# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    2.204408818    1.879000739    1.879000739    0.042119459
    2.224448898    1.979804498    1.979804501    0.043387760
    2.244488978    2.070259458    2.070259465    0.044720558
    2.264529058    2.131637715    2.131637728    0.046123214
    2.284569138    2.138441138    2.138441154    0.047601705
    2.304609218    2.062347347    2.062347361    0.049162718
    2.324649299    1.929651660    1.929651670    0.050813755
    2.344689379    1.811316400    1.811316404    0.052563264
    2.364729459    1.757948418    1.757948415    0.054420793
    2.384769539    1.782922751    1.782922741    0.056397175
    2.404809619    1.870867632    1.870867616    0.058504754
    2.424849699    1.978707507    1.978707487    0.060757654
    2.444889780    2.055939715    2.055939693    0.063172119
    2.464929860    2.099605371    2.099605350    0.065766922
    2.484969940    2.161868555    2.161868537    0.068563877
    2.505010020    2.294263408    2.294263392    0.071588480
    2.525050100    2.515275797    2.515275784    0.074870720
    2.545090180    2.805863018    2.805863005    0.078446110
    2.565130261    3.118863949    3.118863938    0.082357009
    2.585170341    3.418866338    3.418866330    0.086654350
    2.605210421    3.704792424    3.704792420    0.091399902
    2.625250501    3.999335535    3.999335534    0.096669277
    2.645290581    4.368495584    4.368495582    0.102555984
    2.665330661    4.900941202    4.900941196    0.109176957
    2.685370741    5.644273631    5.644273618    0.116680205
    2.705410822    6.587235346    6.587235322    0.125255566
    2.725450902    7.668456242    7.668456204    0.135150043
    2.745490982    8.769189394    8.769189343    0.146690034
    2.765531062    9.716637900    9.716637838    0.160314004
    2.785571142   10.347766512   10.347766440    0.176621056
    2.805611222   10.632402664   10.632402582    0.196443481
    2.825651303   10.671359053   10.671358962    0.220953971
    2.845691383   10.558357261   10.558357166    0.251816866
    2.865731463   10.289970138   10.289970046    0.291372185
    2.885771543    9.809314530    9.809314447    0.342750031
    2.905811623    9.138251572    9.138251502    0.409513174
    2.925851703    8.389766062    8.389766003    0.493725568
    2.945891784    7.687974173    7.687974120    0.590959889
    2.965931864    7.115582544    7.115582491    0.685363209
    2.985971944    6.661767982    6.661767926    0.758890683
    3.006012024    6.257698828    6.257698772    0.812973284
    3.026052104    5.868826491    5.868826436    0.866376724
    3.046092184    5.522096213    5.522096160    0.936396789
    3.066132265    5.255629012    5.255628960    1.028902093
    3.086172345    5.099434440    5.099434386    1.129352206
    3.106212425    5.096786374    5.096786316    1.207293551
    3.126252505    5.266833472    5.266833411    1.238026022
    3.146292585    5.569797937    5.569797874    1.221450727
    3.166332665    5.919105472    5.919105412    1.180087603
    3.186372745    6.195485324    6.195485274    1.137702131
    3.206412826    6.289128518    6.289128483    1.107338814
    3.226452906    6.164936877    6.164936858    1.101372454
    3.246492986    5.872633504    5.872633495    1.129597510
    3.266533066    5.488403440    5.488403429    1.186919773
    3.286573146    5.073426381    5.073426362    1.261034156
    3.306613226    4.680966934    4.680966905    1.343786498
    3.326653307    4.355590006    4.355589971    1.417967337
    3.346693387    4.105827296    4.105827262    1.454430938
    3.366733467    3.909000270    3.909000240    1.442873691
    3.386773547    3.741051309    3.741051284    1.399283603
    3.406813627    3.590690139    3.590690120    1.350231756
